date,symbol,action,score,confidence,entry,stop,target,horizon_days,source,model,prompt_version,reason,risk_reward,meta
2026-09-22,sh600519,SELL,26.2,0.78,1253.8,,,15,llm,mock-rule-v1,mock,规则模拟：中性,,"{""snapshot"": {""代码"": ""sh600519"", ""日期"": ""2026-09-22"", ""收盘价"": 1253.8, ""当日涨跌幅%"": 0.1, ""MA5"": 1257.69, ""MA10"": 1269.03, ""MA20"": 1286.68, ""MA60"": 1284.79, ""MA20近5日斜率%"": -0.74, ""RSI14"": 37.8, ""ATR14"": 16.575, ""ATR占价格比%"": 1.32, ""量比"": 1.14, ""20日涨幅%"": -3.8, ""60日涨幅%"": 5.8, ""60日区间位置"": 39.9, ""20日年化波动率%"": 12.7, ""换手率%"": 0.2}, ""entry_is_reference"": true, ""memory_lessons"": []}"
2026-09-22,sz000858,SELL,27.9,0.74,70.54,,,15,llm,mock-rule-v1,mock,规则模拟：中性,,"{""snapshot"": {""代码"": ""sz000858"", ""日期"": ""2026-09-22"", ""收盘价"": 70.54, ""当日涨跌幅%"": 0.38, ""MA5"": 69.84, ""MA10"": 70.01, ""MA20"": 70.72, ""MA60"": 72.52, ""MA20近5日斜率%"": -0.63, ""RSI14"": 45.2, ""ATR14"": 0.791, ""ATR占价格比%"": 1.12, ""量比"": 0.98, ""20日涨幅%"": -1.4, ""60日涨幅%"": -1.2, ""60日区间位置"": 21.7, ""20日年化波动率%"": 12.9, ""换手率%"": 0.36}, ""entry_is_reference"": true, ""memory_lessons"": []}"
2026-09-22,sh601318,HOLD,47.6,0.35,54.46,,,15,llm,mock-rule-v1,mock,规则模拟：站上MA60,,"{""snapshot"": {""代码"": ""sh601318"", ""日期"": ""2026-09-22"", ""收盘价"": 54.46, ""当日涨跌幅%"": 0.89, ""MA5"": 53.73, ""MA10"": 54.29, ""MA20"": 54.95, ""MA60"": 52.53, ""MA20近5日斜率%"": 0.56, ""RSI14"": 52.8, ""ATR14"": 1.031, ""ATR占价格比%"": 1.89, ""量比"": 1.09, ""20日涨幅%"": 0.8, ""60日涨幅%"": 16.5, ""60日区间位置"": 70.0, ""20日年化波动率%"": 22.0, ""换手率%"": 0.54}, ""entry_is_reference"": true, ""memory_lessons"": []}"
2026-09-22,sz300750,SELL,18.5,0.85,304.63,,,15,llm,mock-rule-v1,mock,规则模拟：RSI超卖,,"{""snapshot"": {""代码"": ""sz300750"", ""日期"": ""2026-09-22"", ""收盘价"": 304.63, ""当日涨跌幅%"": 2.53, ""MA5"": 302.69, ""MA10"": 317.23, ""MA20"": 337.35, ""MA60"": 367.64, ""MA20近5日斜率%"": -5.81, ""RSI14"": 27.1, ""ATR14"": 11.073, ""ATR占价格比%"": 3.64, ""量比"": 0.95, ""20日涨幅%"": -19.1, ""60日涨幅%"": -22.2, ""60日区间位置"": 7.1, ""20日年化波动率%"": 31.2, ""换手率%"": 1.11}, ""entry_is_reference"": true, ""memory_lessons"": []}"
2026-09-22,sh600036,BUY,74.0,0.78,40.82,39.21,43.39,15,llm,mock-rule-v1,mock,"规则模拟：站上MA20, 站上MA60",1.5962732919254665,"{""snapshot"": {""代码"": ""sh600036"", ""日期"": ""2026-09-22"", ""收盘价"": 40.82, ""当日涨跌幅%"": -0.54, ""MA5"": 40.79, ""MA10"": 41.08, ""MA20"": 40.81, ""MA60"": 39.15, ""MA20近5日斜率%"": 0.99, ""RSI14"": 54.5, ""ATR14"": 0.643, ""ATR占价格比%"": 1.57, ""量比"": 0.81, ""20日涨幅%"": 3.3, ""60日涨幅%"": 18.3, ""60日区间位置"": 85.4, ""20日年化波动率%"": 16.6, ""换手率%"": 0.21}, ""entry_is_reference"": true, ""memory_lessons"": []}"
2026-09-23,sh600519,SELL,26.1,0.78,1251.24,,,15,llm,mock-rule-v1,mock,规则模拟：中性,,"{""snapshot"": {""代码"": ""sh600519"", ""日期"": ""2026-09-23"", ""收盘价"": 1251.24, ""当日涨跌幅%"": -0.2, ""MA5"": 1256.34, ""MA10"": 1265.07, ""MA20"": 1284.1, ""MA60"": 1285.76, ""MA20近5日斜率%"": -0.75, ""RSI14"": 37.1, ""ATR14"": 17.113, ""ATR占价格比%"": 1.37, ""量比"": 1.31, ""20日涨幅%"": -4.0, ""60日涨幅%"": 4.9, ""60日区间位置"": 38.5, ""20日年化波动率%"": 12.7, ""换手率%"": 0.25}, ""entry_is_reference"": true, ""memory_lessons"": []}"
2026-09-23,sz000858,SELL,27.6,0.75,70.34,,,15,llm,mock-rule-v1,mock,规则模拟：中性,,"{""snapshot"": {""代码"": ""sz000858"", ""日期"": ""2026-09-23"", ""收盘价"": 70.34, ""当日涨跌幅%"": -0.28, ""MA5"": 70.06, ""MA10"": 69.93, ""MA20"": 70.64, ""MA60"": 72.49, ""MA20近5日斜率%"": -0.56, ""RSI14"": 43.9, ""ATR14"": 0.795, ""ATR占价格比%"": 1.13, ""量比"": 1.14, ""20日涨幅%"": -2.2, ""60日涨幅%"": -2.2, ""60日区间位置"": 19.7, ""20日年化波动率%"": 12.7}, ""entry_is_reference"": true, ""memory_lessons"": []}"
2026-09-23,sh601318,HOLD,45.1,0.4,53.87,,,15,llm,mock-rule-v1,mock,规则模拟：站上MA60,,"{""snapshot"": {""代码"": ""sh601318"", ""日期"": ""2026-09-23"", ""收盘价"": 53.87, ""当日涨跌幅%"": -1.08, ""MA5"": 53.81, ""MA10"": 54.15, ""MA20"": 54.88, ""MA60"": 52.62, ""MA20近5日斜率%"": 0.22, ""RSI14"": 48.8, ""ATR14"": 0.977, ""ATR占价格比%"": 1.81, ""量比"": 0.73, ""20日涨幅%"": -2.3, ""60日涨幅%"": 11.0, ""60日区间位置"": 63.6, ""20日年化波动率%"": 21.1, ""换手率%"": 0.37}, ""entry_is_reference"": true, ""memory_lessons"": []}"
2026-09-23,sz300750,SELL,18.0,0.85,301.0,,,15,llm,mock-rule-v1,mock,规则模拟：RSI超卖,,"{""snapshot"": {""代码"": ""sz300750"", ""日期"": ""2026-09-23"", ""收盘价"": 301.0, ""当日涨跌幅%"": -1.19, ""MA5"": 301.8, ""MA10"": 313.65, ""MA20"": 333.45, ""MA60"": 366.28, ""MA20近5日斜率%"": -5.8, ""RSI14"": 26.0, ""ATR14"": 10.485, ""ATR占价格比%"": 3.48, ""量比"": 0.5, ""20日涨幅%"": -20.6, ""60日涨幅%"": -21.3, ""60日区间位置"": 3.7, ""20日年化波动率%"": 30.6}, ""entry_is_reference"": true, ""memory_lessons"": []}"
2026-09-23,sh600036,HOLD,48.9,0.32,40.6,,,15,llm,mock-rule-v1,mock,规则模拟：站上MA60,,"{""snapshot"": {""代码"": ""sh600036"", ""日期"": ""2026-09-23"", ""收盘价"": 40.6, ""当日涨跌幅%"": -0.54, ""MA5"": 40.73, ""MA10"": 41.04, ""MA20"": 40.85, ""MA60"": 39.24, ""MA20近5日斜率%"": 0.87, ""RSI14"": 52.0, ""ATR14"": 0.641, ""ATR占价格比%"": 1.58, ""量比"": 0.82, ""20日涨幅%"": 2.0, ""60日涨幅%"": 16.3, ""60日区间位置"": 80.3, ""20日年化波动率%"": 16.6}, ""entry_is_reference"": true, ""memory_lessons"": []}"
2026-09-24,sh600519,SELL,25.7,0.79,1237.0,,,15,llm,mock-rule-v1,mock,规则模拟：中性,,"{""snapshot"": {""代码"": ""sh600519"", ""日期"": ""2026-09-24"", ""收盘价"": 1237.0, ""当日涨跌幅%"": -1.14, ""MA5"": 1250.35, ""MA10"": 1260.26, ""MA20"": 1281.34, ""MA60"": 1286.32, ""MA20近5日斜率%"": -0.87, ""RSI14"": 33.1, ""ATR14"": 18.176, ""ATR占价格比%"": 1.47, ""量比"": 1.27, ""20日涨幅%"": -4.3, ""60日涨幅%"": 2.8, ""60日区间位置"": 30.5, ""20日年化波动率%"": 13.0, ""换手率%"": 0.25}, ""entry_is_reference"": true, ""memory_lessons"": []}"
2026-09-24,sz000858,SELL,27.9,0.74,69.67,,,15,llm,mock-rule-v1,mock,规则模拟：中性,,"{""snapshot"": {""代码"": ""sz000858"", ""日期"": ""2026-09-24"", ""收盘价"": 69.67, ""当日涨跌幅%"": -0.95, ""MA5"": 70.16, ""MA10"": 69.85, ""MA20"": 70.57, ""MA60"": 72.47, ""MA20近5日斜率%"": -0.45, ""RSI14"": 39.8, ""ATR14"": 0.79, ""ATR占价格比%"": 1.13, ""量比"": 0.85, ""20日涨幅%"": -2.0, ""60日涨幅%"": -1.8, ""60日区间位置"": 13.2, ""20日年化波动率%"": 12.6, ""换手率%"": 0.34}, ""entry_is_reference"": true, ""memory_lessons"": []}"
2026-09-24,sh601318,HOLD,43.9,0.42,53.25,,,15,llm,mock-rule-v1,mock,规则模拟：站上MA60,,"{""snapshot"": {""代码"": ""sh601318"", ""日期"": ""2026-09-24"", ""收盘价"": 53.25, ""当日涨跌幅%"": -1.15, ""MA5"": 53.79, ""MA10"": 53.92, ""MA20"": 54.8, ""MA60"": 52.7, ""MA20近5日斜率%"": -0.13, ""RSI14"": 45.0, ""ATR14"": 0.949, ""ATR占价格比%"": 1.78, ""量比"": 1.05, ""20日涨幅%"": -3.0, ""60日涨幅%"": 11.1, ""60日区间位置"": 56.2, ""20日年化波动率%"": 21.3, ""换手率%"": 0.51}, ""entry_is_reference"": true, ""memory_lessons"": []}"
2026-09-24,sz300750,SELL,18.0,0.85,293.5,,,15,llm,mock-rule-v1,mock,规则模拟：RSI超卖,,"{""snapshot"": {""代码"": ""sz300750"", ""日期"": ""2026-09-24"", ""收盘价"": 293.5, ""当日涨跌幅%"": -2.49, ""MA5"": 299.64, ""MA10"": 309.19, ""MA20"": 329.47, ""MA60"": 364.83, ""MA20近5日斜率%"": -5.85, ""RSI14"": 23.7, ""ATR14"": 10.287, ""ATR占价格比%"": 3.5, ""量比"": 0.72, ""20日涨幅%"": -21.3, ""60日涨幅%"": -23.0, ""60日区间位置"": 0.0, ""20日年化波动率%"": 31.0}, ""entry_is_reference"": true, ""memory_lessons"": []}"
2026-09-24,sh600036,HOLD,49.3,0.31,40.69,,,15,llm,mock-rule-v1,mock,规则模拟：站上MA60,,"{""snapshot"": {""代码"": ""sh600036"", ""日期"": ""2026-09-24"", ""收盘价"": 40.69, ""当日涨跌幅%"": 0.22, ""MA5"": 40.75, ""MA10"": 40.95, ""MA20"": 40.9, ""MA60"": 39.33, ""MA20近5日斜率%"": 0.79, ""RSI14"": 52.9, ""ATR14"": 0.63, ""ATR占价格比%"": 1.55, ""量比"": 1.04, ""20日涨幅%"": 2.8, ""60日涨幅%"": 14.3, ""60日区间位置"": 81.0, ""20日年化波动率%"": 16.4}, ""entry_is_reference"": true, ""memory_lessons"": []}"
